longitude,latitude,sp1,sp2,sp3,wc1,wc2,wc3,wc4,wc5,wc6,wc7,wc8,wc9,wc10,wc11,wc12,wc13,wc14,wc15,wc16,wc17,wc18,wc19,lc1,lc2,lc3,lc4,lc5,lc6,lc7,lc8,lc9,lc10
-79.75,44.583333333333336,,1.0,1.0,5.8213644,9.826813,25.60883,1050.6871,25.15875,-13.214,38.37275,8.414291,-2.533125,18.200167,-7.3858333,983.0,100.0,58.0,16.69112,287.0,186.0,244.0,244.0,0.0,18.0,17.0,0.0,2.0,0.0,60.0,1.0,1.0,0.0
-79.75,44.75,1.0,1.0,1.0,6.0025835,9.5893755,25.053232,1051.0342,25.0625,-13.2135,38.276,-3.6570833,-2.3693335,18.375542,-7.227375,1020.0,105.0,62.0,18.115938,310.0,194.0,237.0,273.0,0.0,8.0,15.0,0.0,2.0,0.0,45.0,3.0,26.0,2.0
-79.75,44.916666666666664,1.0,1.0,1.0,5.888979,9.544833,24.930511,1049.7781,24.759,-13.52675,38.28575,-3.7755415,-2.4520001,18.23675,-7.3569164,1043.0,109.0,65.0,18.780825,322.0,201.0,235.0,286.0,0.0,0.0,13.0,0.0,3.0,0.0,67.0,1.0,15.0,4.0
-79.75,45.083333333333336,1.0,1.0,,5.58475,9.715834,25.260206,1050.9916,24.40625,-14.05675,38.463,-4.267208,-2.5710833,17.912,-7.7814584,1071.0,114.0,69.0,18.964268,330.0,211.0,235.0,293.0,0.0,0.0,16.0,0.0,4.0,0.0,69.0,0.0,10.0,2.0
-79.75,45.25,1.0,1.0,,5.3245416,9.742833,25.220573,1055.2826,24.1115,-14.519,38.6305,1.288625,-2.8117085,17.698542,-8.11225,1071.0,114.0,70.0,19.134182,330.0,212.0,234.0,289.0,0.0,1.0,11.0,0.0,2.0,0.0,67.0,0.0,18.0,2.0
-79.75,45.416666666666664,1.0,1.0,1.0,4.9245105,9.884271,25.293697,1069.6456,23.86525,-15.21275,39.078,7.342417,-3.1034164,17.438917,-8.772208,1067.0,109.0,69.0,18.576162,325.0,210.0,237.0,277.0,0.0,1.0,14.0,0.0,4.0,0.0,76.0,0.0,5.0,2.0
-79.75,45.583333333333336,,1.0,,4.7264376,9.884583,25.152412,1076.2955,23.663,-15.63575,39.29875,7.1518335,-3.3233333,17.31,-9.083333,1044.0,109.0,67.0,17.85607,321.0,202.0,242.0,255.0,0.0,0.0,12.0,0.0,3.0,0.0,79.0,0.0,6.0,2.0
-79.75,45.75,1.0,,1.0,4.481323,9.893521,24.950087,1084.5535,23.54025,-16.113,39.65325,6.8692083,-3.5879583,17.178291,-9.424792,1020.0,109.0,62.0,18.244398,316.0,193.0,248.0,234.0,0.0,0.0,11.0,0.0,4.0,0.0,81.0,0.0,4.0,2.0
-79.75,46.083333333333336,,1.0,,4.328344,10.43352,24.805689,1125.4685,24.56875,-17.49225,42.061,12.81675,-4.280083,17.444,-10.122666,965.0,105.0,53.0,19.939222,296.0,178.0,255.0,198.0,0.0,0.0,9.0,0.0,4.0,0.0,76.0,0.0,10.0,2.0
-79.75,46.25,,1.0,1.0,4.3519063,9.723646,23.312365,1132.2535,24.388,-17.32225,41.71025,13.342625,-4.7430415,17.61225,-10.019292,935.0,101.0,50.0,20.082548,288.0,173.0,255.0,187.0,0.0,0.0,3.0,0.0,1.0,0.0,20.0,0.0,75.0,1.0
